#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr	cycles_per_pkt
1.0546875	1.0548402211538463	4.134399999999999	4.9152	5.4784	6.08	7.231999999999999	0.9997052549224084	3.989380539489867e-06	196566	110388737	110540882	1.0013782656105576	221.66868771673276	7.245990076152449	nan	nan	3.12751379316507	
1.1328125	1.1332608155339805	4.1472	4.966399999999999	5.5296	6.1823999999999995	7.3984	0.999713114809637	1.8514329803044003e-06	194967	117660748	117855715	1.0016570266916882	204.92192957492523	5.14100306537276	nan	nan	2.9111156352099963	
1.2109375	1.2112151359223289	4.16	5.017600000000001	5.6192	6.272	7.475199999999999	0.9997015794820346	3.4738284127157184e-05	194819	125660267	125855086	1.0015503627729838	186.23290092712867	4.6450487970183385	nan	nan	2.7237235685455214	
1.2890625	1.2899765192307686	4.1216	5.030399999999999	5.6576	6.336	7.5008	0.9997163628849313	1.9587756965137985e-05	196834	135169145	135311359	1.0010521188101027	170.4946633976501	4.738250105861745	nan	nan	2.557460502837332	
1.3671875	1.3607080196078432	4.1728000000000005	5.094399999999999	5.7216000000000005	6.4512	7.6544	0.9997206328851912	2.1236853090764115e-05	192237	139371226	139535981	1.0011821306644744	151.32406132472826	6.257073727689102	nan	nan	2.424530495140263	
1.4453125	1.4467369900990108	4.1983999999999995	5.1072	5.747199999999999	6.5024	7.718400000000001	0.9997059548429457	4.0238924728255475e-06	191281	147478935	147603087	1.0008418286991292	132.68299635444637	4.249986414805574	nan	nan	2.280324394523115	
1.5234375	1.5243526534653462	4.1983999999999995	5.12	5.8111999999999995	6.5408	7.8464	0.9997304914986966	5.827045851060972e-05	189521	154038101	154162480	1.0008074560721831	120.74922662605387	6.942768690390224	nan	nan	2.1642699374359036	
1.6015625	1.6025312745098048	4.1983999999999995	5.184	5.9008	6.7328	8.0768	0.9997637571193859	5.419198520311099e-05	193201	164941018	165054241	1.0006864453813422	97.13049834711686	2.2742547380526137	nan	nan	2.0587557016652704	
1.6796875	1.6800748000000019	4.2112	5.1968000000000005	5.952	6.8608	8.3072	0.9997283018133861	3.307253061455333e-05	197571	176678424	176875995	1.001118251994369	81.88173033279985	3.1045004020065603	nan	nan	1.9636645915909043	
1.7578125	1.7580494174757284	4.2752	5.2992	6.1568000000000005	7.1552	8.768	0.9997345254476498	5.1630710083015206e-05	194206	181925701	182119907	1.0010675017269826	65.98882975078872	4.578576231432276	nan	nan	1.8765820239082056	
1.8359375	1.8381833599999984	4.3136	5.3888	6.4	7.5776	9.510399999999999	0.9997157611065125	1.8845952211646846e-05	188695	184950309	185139004	1.0010202470113203	49.160134929209306	3.830666868111596	nan	nan	1.7947404396324718	
1.9140625	1.9142038867924536	4.3776	5.6576	6.976	8.448	10.7264	0.9997075308515525	2.3738990829190046e-05	199441	203114511	203313952	1.000981914088846	30.654410829646114	0.39204853086065045	nan	nan	1.7234500852143653	
1.9921875	1.9935676249999998	4.4672	5.849600000000001	7.104	8.460799999999999	10.688	0.9997735379347507	5.840139648732211e-05	196326	208369724	208459490	1.0004308015496532	13.862990611400125	0.2811483635781867	nan	nan	1.6549489637627304	
2.0703125	2.072881586538463	5.0048	6.3232	7.4496	8.576	151.83936000000017	0.9996742913999248	4.6433597100773204e-05	195832	216506666	216610997	1.0004818835462554	0.010049467676210917	0.0015148428432631021	nan	nan	1.5914682165365164	
2.1484375	2.151349451923075	2837.636224	2841.3312	2842.9184	2844.5568	2849.344	0.9997079744422066	1.4386348021437087e-07	34734	224495087	218450913	0.9730765867495355	0.0012999325932240048	0.00026456126352515804	nan	nan	1.533473008167175	
2.2265625	2.2281043653846178	2843.2383999999997	2846.8736	2848.5247999999997	2850.3552	2859.33504	0.999707985335065	1.419077598207045e-07	34446	232697377	218321121	0.9382190887351515	0.0014499253111153335	0.00036053733970112885	nan	nan	1.4806471379253507	
2.3046875	2.3062313461538477	2840.931328	2844.7104	2846.592	2848.7424	2859.7724160000002	0.9997079572597893	1.8948264338458446e-07	33077	239994839	217803848	0.9075355491290378	0.0012374361815312449	0.00018665507047858947	nan	nan	1.430487996990926	
2.3828125	2.385458298076925	2841.091712	2844.7744	2846.5792	2848.6784	2854.0560640000003	0.9997079954343444	2.2187442200220037e-07	28030	248902193	218437237	0.8776027015559481	0.0014374257635841276	0.00030386458185411273	nan	nan	1.3829780162549505	
2.4609375	2.4653737884615357	2837.2608	2841.3312	2843.7248	2848.1023999999998	2859.7504	0.9997080019037765	1.6660581905966856e-07	21901	257260134	218565742	0.8495904071946102	0.001324931181290366	0.00019201867506411156	nan	nan	1.3381485686765398	
